,Gender,Tinggal_Dengan,Status_Kerja,Biaya,Tgl_Daftar_Kuliah,Alamat,UKM,Organisasi_Kampus,Lama_Kuliah,Fakultas
61,1,0,0,0,0,5,3,1,6,4
62,0,1,1,1,0,0,1,0,7,4
63,1,1,1,2,0,1,3,0,4,2
64,1,0,0,2,1,5,1,0,3,1
65,1,0,1,1,0,4,1,0,7,3
66,1,0,1,1,0,2,1,1,7,0
67,1,0,1,2,1,1,1,1,4,0
68,0,1,0,1,0,1,0,0,4,4
69,0,1,0,0,1,2,2,0,7,4
70,0,1,1,2,0,1,4,0,4,2
71,0,0,0,2,0,2,3,1,5,3
72,0,0,1,1,0,3,0,0,6,2
73,0,1,1,1,0,1,0,0,4,0
74,0,0,1,0,0,1,2,0,1,3
75,1,1,1,1,0,5,1,0,2,3
76,0,1,1,1,0,4,2,0,6,4
77,0,1,0,0,1,1,0,0,0,0
78,0,1,1,2,0,1,3,1,3,2
79,1,1,1,2,0,0,3,0,4,3
80,1,1,1,1,0,3,3,0,6,0
81,0,1,1,1,0,5,1,1,7,2
82,1,1,1,2,1,0,0,0,3,4
83,1,1,1,2,0,1,2,1,3,2
84,0,1,1,0,0,5,1,0,0,2
85,1,1,1,0,0,2,0,0,0,4
86,1,1,0,0,0,1,2,0,2,3
87,1,1,1,1,0,3,4,0,0,4
88,1,0,0,1,1,3,4,0,2,2
89,1,1,1,2,0,4,2,1,1,2
90,1,0,0,0,0,5,3,0,5,2
91,1,1,0,2,0,0,3,1,7,0
92,1,1,1,2,0,4,4,1,7,0
93,0,1,0,1,0,5,1,1,2,2
94,0,1,1,2,1,5,4,0,6,3
95,0,1,1,1,1,1,1,0,6,3
96,1,1,0,1,0,3,4,1,6,4
97,1,0,1,1,0,1,2,0,7,3
98,0,1,0,0,0,0,3,1,2,0
99,0,0,1,1,0,0,3,1,7,3
100,0,0,0,2,0,2,3,0,3,0
101,0,1,0,0,1,3,2,0,4,3
102,1,0,0,0,0,5,0,1,3,1
103,1,0,0,1,0,0,0,1,1,0
104,0,1,1,0,0,0,3,1,1,3
105,1,1,1,0,1,1,1,0,4,0
106,0,1,0,2,0,4,2,1,0,0
107,0,1,1,0,0,0,4,0,0,1
108,0,0,0,2,0,4,1,1,5,4
109,0,1,0,0,0,3,3,1,3,1
110,0,0,0,0,1,3,3,1,0,0
111,1,1,0,0,0,3,0,1,1,2
112,0,1,0,2,0,1,1,1,4,3
113,1,1,1,1,0,5,0,1,6,2
114,0,0,1,1,1,2,0,1,3,4
115,1,1,1,2,0,1,1,1,3,1
116,1,1,1,0,0,4,2,1,4,2
117,0,1,0,1,0,3,4,0,0,4
118,0,1,1,1,0,3,1,0,3,0
119,0,0,1,1,0,0,4,0,7,3
120,1,1,0,0,1,2,2,1,3,3
121,0,0,0,0,1,3,1,1,2,2
122,1,1,0,1,0,1,4,1,1,0
123,0,1,1,1,1,4,2,0,2,1
124,0,1,1,0,0,1,4,0,2,3
125,1,1,1,0,0,4,1,0,4,4
126,0,0,0,2,0,0,2,1,3,1
127,1,1,0,1,1,3,1,0,3,3
128,1,1,0,2,0,5,2,1,3,3
129,0,1,1,0,0,3,1,0,2,2
130,0,1,0,2,0,3,3,1,5,0
131,0,0,0,1,0,3,1,0,5,2
132,1,1,1,2,0,5,1,0,4,4
133,1,1,0,2,1,5,0,0,4,0
134,1,1,1,1,0,3,2,1,4,2
135,1,0,1,0,0,3,1,0,1,3
136,0,1,0,1,1,1,1,0,1,4
137,0,0,0,1,1,0,3,1,4,0
138,1,1,0,0,1,1,2,1,2,1
139,1,1,0,0,1,0,3,1,6,2
140,1,0,0,2,0,2,0,0,4,3
141,0,0,0,0,1,2,1,0,4,0
142,1,0,1,1,0,5,0,1,1,4
143,0,1,0,0,1,2,1,0,4,3
144,0,1,0,1,1,3,0,1,5,1
145,0,1,1,1,0,1,0,0,1,3
146,1,0,1,2,0,0,2,0,5,2
147,1,1,1,1,0,0,4,0,4,2
148,0,1,1,1,0,1,1,1,4,4
149,0,0,1,0,0,0,1,1,7,4
150,0,1,0,1,1,0,1,1,7,4
151,1,1,0,0,0,3,4,1,3,4
152,0,1,1,0,1,4,4,0,3,1
153,0,1,0,2,0,4,2,1,0,2
154,0,1,1,2,0,3,0,0,1,4
155,0,1,0,0,0,3,4,1,0,2
156,1,1,1,2,0,3,4,1,6,4
157,0,0,1,1,1,2,3,1,7,0
158,0,0,1,1,0,4,1,0,1,3
159,0,1,0,1,0,5,4,0,0,4
160,0,0,1,0,0,0,0,0,6,0
161,1,1,0,2,1,0,0,0,7,0
162,1,1,0,1,0,2,3,0,3,4
163,1,1,0,1,1,5,4,1,3,0
164,1,1,0,2,0,0,0,0,6,1
165,1,1,1,1,1,5,4,1,1,1
166,1,1,0,2,0,0,4,0,0,0
167,1,1,1,0,0,0,3,0,0,0
168,1,1,1,0,0,3,0,0,6,4
169,0,1,0,2,0,4,1,1,6,3
170,1,0,1,1,0,1,1,1,2,0
171,0,0,0,0,1,4,4,0,5,3
172,0,0,1,1,1,5,0,1,1,4
173,0,1,1,2,0,2,2,0,1,4
174,1,0,0,2,0,5,4,1,5,4
175,0,1,1,0,1,2,3,0,6,1
176,0,1,1,0,0,4,4,0,6,1
177,0,1,1,1,1,0,0,1,1,4
178,0,1,1,0,1,2,4,0,1,2
179,1,0,1,0,0,5,3,0,0,3
180,1,0,0,2,0,4,4,1,3,4
181,1,1,1,2,0,2,4,1,2,1
182,1,1,0,2,0,0,2,0,7,0
183,1,1,0,1,1,0,2,0,1,1
184,0,1,1,1,1,4,2,1,6,4
185,0,1,1,0,0,1,4,1,3,2
186,0,0,1,1,1,4,4,1,4,3
187,0,0,0,1,0,3,1,0,6,4
188,1,0,0,2,0,5,2,0,6,0
189,0,0,0,1,1,3,3,0,1,4
190,1,0,0,1,0,5,3,0,6,4
191,0,1,1,1,0,4,0,1,4,3
192,1,0,0,0,1,3,2,0,3,4
193,0,0,0,2,0,0,2,1,3,1
194,0,1,1,1,1,3,4,0,0,2
195,0,1,0,1,0,0,1,0,5,0
196,1,0,0,0,0,4,2,1,4,4
197,1,1,0,1,0,0,2,1,1,0
198,0,0,0,0,0,3,3,0,6,3
199,1,1,1,1,0,2,1,0,5,1
200,0,1,1,1,1,4,1,0,1,1
201,0,1,1,1,1,3,2,1,3,0
202,1,1,1,1,1,1,3,1,4,2
203,0,0,0,0,0,5,3,1,1,2
204,1,0,0,0,0,3,0,1,1,3
205,0,1,0,2,0,0,1,0,2,3
206,1,1,0,2,1,1,3,0,0,3
207,0,1,0,2,0,2,0,1,2,4
208,1,0,1,2,1,4,4,1,5,1
209,0,1,1,0,1,4,0,0,6,0
210,1,0,1,0,0,3,2,0,3,1
211,1,1,0,2,1,2,4,1,0,1
212,0,1,0,2,0,4,0,1,4,4
213,1,1,0,0,0,0,0,0,6,3
214,0,1,0,2,0,0,2,1,4,4
215,1,0,1,2,1,2,4,1,7,2
216,0,1,0,0,0,1,4,1,0,4
217,1,1,0,2,1,0,2,1,7,4
218,0,1,0,0,1,4,2,0,5,0
219,1,0,1,2,1,3,1,1,5,1
220,1,1,0,1,0,3,2,0,5,1
221,1,1,1,1,0,4,3,1,6,1
222,1,1,0,0,0,3,0,0,3,3
223,1,0,1,0,1,1,3,1,4,1
224,1,0,1,2,0,4,2,0,1,3
225,1,1,0,0,1,3,3,1,6,3
226,0,0,1,1,0,4,2,1,0,4
227,1,1,1,1,1,3,0,1,6,0
228,0,1,0,1,0,0,3,0,3,3
229,0,1,0,2,1,3,0,0,3,0
230,0,1,0,0,1,0,4,1,6,4
231,0,1,0,1,1,0,4,1,5,1
232,1,1,1,1,0,3,3,1,1,1
233,0,0,0,0,1,3,1,1,1,1
234,0,1,0,1,1,5,2,1,2,0
235,0,1,1,2,0,4,3,0,3,0
236,1,0,0,1,0,1,0,1,0,3
237,0,1,1,0,1,5,3,1,5,0
238,1,1,0,2,0,0,2,1,1,4
239,0,0,1,0,0,3,3,1,7,1
240,0,1,0,0,1,5,2,0,0,4
241,1,1,0,1,0,4,2,1,1,2
242,0,1,0,0,0,4,2,1,3,4
243,1,1,1,2,0,3,0,0,4,2
244,0,1,1,0,0,0,2,0,1,1
245,0,0,0,0,0,1,0,0,4,2
246,0,0,0,0,0,5,4,0,2,3
247,1,0,1,1,1,0,1,0,2,4
248,0,0,0,2,0,2,2,1,3,2
249,1,0,1,1,0,5,3,0,5,4
250,0,1,1,0,0,2,3,0,0,3
251,1,1,0,2,0,2,0,0,5,2
252,1,0,1,2,0,0,4,1,1,3
253,1,1,0,2,0,0,2,1,2,0
254,1,1,0,0,0,5,1,0,1,4
255,0,1,1,1,0,0,0,0,0,3
256,0,1,0,2,0,0,2,1,0,2
257,0,1,1,2,0,0,1,0,7,2
258,0,1,1,1,0,0,2,1,2,1
259,1,1,0,1,1,4,4,1,1,1
260,0,0,1,0,0,1,3,1,2,2
261,1,0,1,1,0,4,3,0,2,3
262,0,1,0,0,0,2,3,1,4,0
263,0,0,1,2,0,3,4,0,1,0
264,0,1,0,0,0,0,3,0,5,1
265,0,0,0,1,0,1,0,0,4,4
266,1,1,0,0,0,4,3,0,0,2
267,1,1,0,0,1,0,0,0,2,2
268,1,1,0,0,0,3,2,0,6,4
269,0,1,1,2,1,2,0,1,5,3
270,1,1,1,1,0,4,4,1,1,4
271,1,0,0,1,0,1,3,0,3,1
272,1,1,0,0,0,5,2,1,0,2
273,1,0,0,2,0,4,2,0,0,4
274,1,0,1,1,0,2,2,1,4,4
275,1,1,1,2,0,3,3,1,4,2
276,0,1,1,0,0,0,3,1,1,0
277,0,1,0,2,0,5,2,1,2,2
278,1,0,0,0,0,0,1,1,3,0
279,0,1,0,2,0,2,4,0,5,2
280,1,1,0,2,1,0,2,0,4,3
281,1,1,1,1,0,3,2,0,2,4
282,0,1,0,1,0,5,2,1,0,4
283,1,1,1,0,0,1,3,1,6,4
284,0,1,1,1,0,1,1,0,1,3
285,0,1,1,1,0,1,1,0,0,4
286,0,1,0,0,1,5,1,0,4,2
287,1,1,1,1,0,1,4,1,6,2
288,0,1,1,2,0,2,0,1,4,0
289,1,1,0,1,0,4,3,1,3,2
290,0,0,1,0,1,2,3,1,5,2
291,0,0,1,0,1,1,0,0,5,2
292,0,1,1,2,1,1,3,1,4,3
293,0,1,0,0,0,1,1,0,3,4
294,1,1,1,0,0,2,4,1,2,0
295,0,1,0,2,1,5,4,1,3,2
296,1,1,1,2,0,2,2,1,3,3
297,1,0,0,1,0,0,1,1,2,2
298,1,1,1,0,0,2,1,0,4,0
299,1,1,0,0,0,3,0,1,6,0
300,1,0,1,0,1,5,0,0,3,4
301,1,0,1,0,1,0,3,1,6,0
302,1,1,0,0,1,5,0,0,2,1
303,1,1,0,2,0,2,0,1,4,2
304,1,0,1,2,1,4,0,1,6,3
305,1,1,0,2,0,1,2,1,4,0
306,0,1,0,2,0,0,4,1,1,0
307,1,1,0,0,1,1,4,1,0,2
308,0,1,1,1,0,1,2,0,1,1
309,0,0,0,1,0,3,4,0,1,1
310,0,1,1,1,0,2,3,1,3,2
311,0,1,0,0,0,0,4,1,2,4
312,0,0,1,2,0,0,3,1,7,1
313,1,0,1,0,0,1,2,1,0,1
314,0,1,1,0,0,1,2,0,0,1
315,0,1,1,2,0,4,4,1,7,2
316,1,0,1,0,1,1,2,0,5,1
317,0,1,0,0,0,3,4,0,6,0
318,1,1,0,1,1,1,2,1,2,4
319,1,0,1,0,1,5,4,1,4,4
320,0,1,1,0,0,2,1,0,3,2
321,0,1,1,2,0,5,2,0,4,4
322,1,1,0,1,1,1,3,1,2,0
323,0,1,0,1,0,1,0,1,1,2
324,0,1,0,1,0,1,1,0,0,4
325,1,0,0,1,0,1,0,1,1,2
326,1,1,0,2,0,2,0,0,4,1
327,1,1,1,2,1,4,2,0,4,4
328,1,0,1,0,1,0,4,1,6,3
329,0,0,1,2,0,1,1,0,3,1
330,0,1,0,1,1,3,2,1,1,1
331,1,1,1,1,0,2,1,0,4,3
332,0,1,1,1,0,4,3,0,7,2
333,0,0,1,0,0,2,4,1,0,4
334,0,0,0,1,0,3,1,1,3,1
335,0,1,1,2,1,2,1,1,3,4
336,1,1,1,2,0,0,1,1,5,1
337,0,1,1,1,1,0,3,1,5,2
338,1,1,1,0,1,5,4,0,1,2
339,0,1,0,1,1,0,2,0,3,0
340,1,1,1,0,0,3,4,1,1,1
341,1,1,1,0,0,1,4,0,7,1
342,1,0,1,0,0,1,1,1,7,2
343,1,0,0,2,0,5,2,1,4,3
344,0,1,0,2,0,2,2,0,4,3
345,0,0,0,1,1,2,4,1,1,3
346,1,1,1,1,0,4,0,0,2,2
347,1,0,1,2,0,1,3,0,4,4
348,0,0,0,2,0,5,2,0,4,0
349,0,1,1,1,0,2,2,0,4,3
350,0,0,0,1,1,2,4,1,4,0
351,0,1,0,1,0,3,0,1,5,4
352,1,1,0,1,1,3,3,1,7,3
353,0,0,0,2,0,1,4,0,7,0
354,0,1,1,0,0,0,0,0,7,4
355,0,1,1,1,0,4,3,0,1,3
356,1,1,1,1,0,5,1,1,1,3
357,0,1,0,2,0,4,4,1,5,0
358,1,1,0,0,1,3,4,1,7,1
359,1,1,1,0,1,1,0,0,2,2
360,1,1,1,1,0,1,3,0,6,2
361,1,0,0,2,0,5,0,1,6,1
362,0,1,0,2,0,5,2,0,5,1
363,0,1,0,0,0,4,0,0,7,2
364,1,1,1,0,0,1,4,1,7,3
365,1,1,0,0,0,4,1,0,4,1
366,0,1,1,2,1,2,4,0,5,1
367,0,1,1,2,0,5,3,0,0,3
368,0,1,0,0,0,5,4,0,2,2
369,0,0,1,1,0,2,2,0,6,4
370,1,1,1,2,1,2,3,1,3,1
371,0,0,1,1,0,2,3,0,0,4
372,0,1,0,0,0,0,2,0,2,0
373,1,1,0,0,0,4,2,1,2,3
374,0,0,1,0,0,4,0,0,5,2
375,1,1,0,2,0,1,4,0,5,4
376,1,1,1,2,0,1,1,0,2,0
377,1,0,0,0,1,2,0,1,7,3
378,1,1,1,0,0,5,3,0,2,3
379,0,1,0,1,0,1,4,1,6,1
380,0,1,1,0,0,0,2,0,5,4
381,0,1,0,2,0,3,1,0,3,0
382,1,1,1,0,1,1,2,0,3,0
383,1,1,1,0,0,1,0,0,4,2
384,0,1,1,1,0,5,1,1,3,1
385,1,0,1,2,0,0,2,1,3,3
386,0,0,1,1,0,4,3,0,5,1
387,1,1,1,1,0,1,2,1,3,4
388,0,1,1,2,0,2,1,1,3,3
389,1,1,0,1,0,0,1,0,1,0
390,1,1,0,2,0,5,0,1,3,2
391,0,1,1,2,0,5,2,1,5,1
392,0,1,0,2,0,4,4,1,0,3
393,1,0,1,1,0,5,1,0,1,3
394,1,1,0,1,1,1,0,0,2,2
395,1,1,1,1,1,2,1,0,6,2
396,0,1,0,2,0,1,3,1,7,4
397,0,1,1,0,0,2,0,0,5,2
398,1,0,0,1,0,0,1,0,2,3
399,1,1,0,0,1,0,4,0,1,1
400,1,1,1,2,0,2,2,0,7,0
401,1,1,0,1,0,0,0,0,0,0
402,1,1,1,1,0,0,2,0,5,3
403,1,1,0,1,1,0,4,0,7,2
404,1,1,1,0,1,0,3,0,4,2
405,1,1,1,2,1,0,3,1,5,1
406,0,0,1,2,0,2,1,0,3,3
407,1,1,1,2,1,0,3,0,0,2
408,1,1,0,2,0,3,2,0,0,1
409,1,0,0,2,0,1,2,1,1,4
410,1,1,0,1,1,2,2,1,5,4
411,1,1,0,2,1,3,1,0,7,3
412,1,1,1,0,0,4,1,1,0,1
413,0,1,1,0,1,2,2,1,4,4
414,1,1,1,2,0,4,0,1,7,1
415,1,1,0,0,0,2,0,1,4,4
416,1,1,0,1,0,0,2,0,5,2
417,0,1,1,0,1,0,3,1,5,2
418,0,1,0,0,0,3,4,1,2,0
419,0,0,0,2,0,5,2,0,2,3
420,1,0,0,1,0,1,3,0,3,2
421,0,1,0,1,0,4,2,1,3,2
422,0,1,1,0,1,4,4,0,1,4
423,0,1,1,2,1,5,0,1,1,2
424,1,0,1,0,1,3,1,1,6,4
425,0,1,0,1,0,4,3,1,5,0
426,0,1,1,2,0,3,3,0,7,0
427,0,1,1,2,0,2,1,1,4,4
428,1,0,1,1,0,5,1,0,3,4
429,1,1,0,0,1,4,1,1,0,4
430,0,0,0,1,1,0,3,0,6,2
431,1,0,0,0,0,1,0,0,1,0
432,0,1,1,0,0,2,3,1,7,2
433,0,1,0,2,0,0,2,0,1,4
434,0,0,1,1,1,4,3,1,4,2
435,1,1,0,0,1,5,2,0,5,4
436,1,0,1,2,0,0,4,0,3,0
437,0,0,0,1,1,1,0,0,0,4
438,0,0,1,2,0,1,0,0,1,1
439,1,1,0,2,0,5,0,0,1,1
440,1,1,0,0,0,2,2,1,2,3
441,1,1,1,2,1,4,0,0,6,1
442,1,1,0,0,0,5,1,0,4,2
443,1,0,1,1,0,4,3,1,3,1
444,0,1,1,0,0,1,4,0,1,3
445,1,1,0,1,1,5,4,1,6,4
446,1,1,0,0,0,0,3,0,5,1
447,0,1,0,2,0,2,3,1,4,0
448,0,0,1,2,0,1,1,1,4,3
449,0,1,0,0,0,3,4,1,7,1
450,0,0,1,1,1,3,0,0,7,0
451,1,1,1,0,0,4,0,0,0,4
452,1,1,0,2,1,4,0,0,3,0
453,1,1,1,2,0,1,2,0,7,4
454,0,0,1,0,0,2,3,1,3,2
455,1,1,0,2,1,2,2,0,7,3
456,0,0,1,2,0,5,0,1,1,2
457,0,1,0,1,0,4,2,1,1,0
458,1,1,1,2,1,2,0,1,7,0
459,0,0,0,2,0,4,1,0,7,3
460,1,1,0,0,0,3,4,1,1,0
461,1,1,1,0,1,0,3,1,7,2
462,1,1,0,1,1,4,1,1,0,1
463,0,1,1,1,0,4,1,1,4,0
464,1,0,1,2,1,3,4,1,2,2
465,1,1,0,2,0,4,2,1,3,0
466,0,0,1,0,1,0,3,1,0,2
467,1,0,1,1,0,4,0,0,0,1
468,1,1,0,2,0,5,4,0,6,3
469,0,0,0,0,0,1,2,1,4,3
470,1,1,0,2,0,0,2,1,1,1
471,0,1,0,1,1,4,2,1,6,1
472,0,0,1,2,0,0,2,0,0,0
473,1,1,0,2,1,1,4,1,6,1
474,1,1,1,2,0,1,1,1,3,0
475,1,0,1,1,0,3,3,1,0,4
476,0,1,1,0,0,5,1,0,2,0
477,0,0,0,2,0,2,2,1,3,0
478,1,1,1,2,1,1,0,1,1,2
479,1,1,1,0,0,4,2,1,4,1
480,0,0,1,0,0,4,1,1,6,3
481,1,0,1,1,0,5,3,0,6,1
482,1,1,0,0,0,3,4,1,4,3
483,1,1,0,0,1,0,0,0,4,2
484,1,1,0,1,0,2,2,1,2,0
485,1,0,0,0,1,4,4,0,1,2
486,0,1,1,0,0,0,0,0,6,0
487,0,1,0,0,0,4,0,0,1,4
488,1,1,0,2,1,4,3,0,0,3
489,1,0,1,1,1,2,0,0,5,0
490,0,1,0,0,0,1,1,1,7,4
491,1,0,1,0,0,0,4,1,4,2
492,0,1,0,1,1,1,1,1,4,1
493,1,1,0,1,0,1,0,0,7,2
494,1,1,0,2,0,5,0,1,7,1
495,0,1,1,1,1,5,2,1,0,3
496,1,0,1,2,0,0,3,0,2,3
497,0,0,1,2,0,1,3,0,6,0
498,1,1,1,1,1,0,2,0,3,2
499,1,1,0,2,1,2,0,0,6,1
500,0,0,1,2,0,0,1,0,7,3
501,0,1,1,2,0,1,0,0,6,0
502,0,0,1,1,0,1,1,1,0,0
503,1,1,1,1,0,0,0,1,5,4
504,1,1,0,0,0,5,2,1,1,0
505,0,1,0,2,0,4,0,1,1,0
506,0,1,1,1,0,0,0,0,2,3
507,0,0,0,1,0,0,4,0,0,2
508,0,0,1,1,0,5,4,1,1,0
509,0,1,1,1,1,0,0,1,2,4
510,0,1,0,0,1,4,1,0,1,2
511,1,0,1,2,0,3,1,0,0,4
512,0,1,1,1,1,2,2,1,7,0
513,1,1,0,0,0,3,4,0,3,0
514,1,1,0,2,0,1,4,0,5,0
515,1,1,1,2,0,4,1,1,0,4
516,1,0,1,2,0,4,0,0,7,3
517,1,1,1,1,0,3,4,1,7,3
518,1,1,1,0,1,0,2,1,7,3
519,1,1,0,1,0,0,2,0,6,2
520,1,1,0,2,0,3,3,0,6,0
521,0,0,0,1,0,5,3,0,2,2
522,1,1,0,2,0,0,2,1,5,1
523,1,1,0,1,0,3,4,1,4,1
524,0,1,1,1,0,1,3,1,3,1
525,0,1,1,0,1,4,3,1,7,0
526,0,1,0,1,0,5,4,1,7,2
527,1,1,1,1,1,0,0,0,7,3
528,1,0,0,1,1,3,3,0,0,2
529,0,1,1,0,1,1,0,1,1,3
530,1,1,1,1,1,2,4,1,6,0
531,1,1,1,0,0,3,3,0,0,3
532,0,1,0,1,0,4,1,0,3,2
533,0,0,0,2,0,1,1,1,0,4
534,1,1,1,2,0,4,3,0,3,3
535,1,1,1,1,1,2,0,1,2,0
536,0,1,1,0,0,5,2,1,4,3
537,1,1,0,0,1,2,1,0,4,1
538,1,1,1,1,0,1,1,1,5,2
539,0,0,0,1,1,5,3,0,4,3
540,1,1,0,0,0,3,3,0,6,1
541,0,1,1,0,0,5,1,1,3,1
542,0,1,0,2,0,0,4,1,7,1
543,1,1,0,2,0,0,3,1,2,4
544,0,0,0,0,0,0,0,1,2,3
545,1,1,1,1,0,4,2,0,1,0
546,1,1,1,2,0,1,4,1,7,3
547,0,1,0,1,1,4,3,1,1,3
548,0,1,1,2,0,2,4,0,5,0
549,1,1,0,2,0,4,2,0,5,0
550,0,1,0,0,0,1,2,1,0,3
551,0,1,0,1,0,0,4,0,7,0
552,1,1,0,2,0,4,3,0,6,0
553,0,1,1,2,1,0,1,0,1,3
554,0,1,1,2,1,1,3,0,7,2
555,1,0,1,2,0,5,1,1,6,0
556,0,1,0,1,0,4,2,0,5,2
557,1,1,1,2,0,1,3,0,7,1
558,0,1,0,0,1,4,4,0,2,2
559,0,0,1,2,0,4,4,0,1,2
560,1,0,0,0,0,5,2,1,4,3
561,1,0,0,1,1,1,0,1,5,1
562,0,0,1,0,1,4,3,1,5,3
563,0,0,1,0,1,1,2,0,5,3
564,1,1,1,1,1,3,3,1,4,0
565,0,1,0,2,0,1,3,0,4,3
566,0,1,1,1,0,2,2,1,4,3
567,1,0,1,0,0,0,4,1,0,1
568,1,1,1,0,1,5,0,1,1,4
569,1,0,0,0,1,5,1,1,7,0
570,1,1,0,1,0,3,2,0,5,0
571,0,1,0,0,1,0,3,0,6,2
572,0,0,0,1,0,1,0,1,0,0
573,1,1,1,0,1,1,2,1,4,3
574,0,1,0,0,0,3,1,1,7,3
575,1,1,1,0,1,3,2,1,3,4
576,1,1,0,1,0,2,1,0,7,3
577,1,1,1,1,1,0,0,1,3,1
578,0,1,0,0,0,3,3,1,3,3
579,0,1,1,0,0,0,4,1,4,4
580,1,0,0,1,0,4,3,1,2,0
581,1,1,0,2,0,4,0,0,7,3
582,0,1,0,1,0,5,1,1,5,3
583,0,1,0,1,0,4,2,1,0,1
584,0,1,0,2,1,5,0,1,3,2
585,1,1,0,2,0,0,0,1,4,0
586,0,1,1,0,0,0,4,0,3,3
587,1,1,0,2,0,0,4,0,7,4
588,1,0,0,0,0,0,4,0,7,0
589,0,1,1,2,0,4,0,0,2,4
590,0,1,1,1,1,3,4,1,4,3
591,0,0,0,1,0,4,1,1,1,0
592,1,1,1,2,0,3,0,0,6,0
593,1,0,1,2,1,0,4,0,6,0
594,1,1,1,2,0,5,0,1,6,2
595,0,1,0,0,0,3,4,1,7,2
596,1,1,1,0,0,4,3,0,0,0
597,1,0,0,2,0,5,2,0,5,0
598,1,0,1,0,0,5,3,0,5,4
599,0,1,0,2,0,0,3,0,0,2
600,1,0,0,2,1,3,0,0,2,0
601,1,1,0,2,0,0,4,0,7,0
602,0,1,1,1,0,2,3,1,2,4
603,1,1,1,2,0,3,4,1,5,1
604,0,1,0,1,0,3,3,0,6,0
605,0,1,1,1,1,3,1,0,5,4
606,1,1,0,0,1,0,1,1,3,0
607,1,1,1,0,0,3,0,1,3,3
608,0,0,0,0,1,3,1,0,1,0
609,0,0,0,0,0,5,2,1,2,3
610,0,0,0,2,1,3,3,0,6,0
611,1,0,0,1,0,4,0,1,4,1
612,0,0,0,0,0,3,3,1,2,4
613,1,0,1,0,1,4,3,1,0,1
614,1,1,1,0,0,0,0,1,1,1
615,1,1,0,0,0,5,4,1,1,3
616,1,0,0,0,0,1,0,0,6,3
617,0,0,1,0,1,4,1,1,0,3
618,0,0,0,1,1,2,2,1,5,0
619,1,1,0,2,0,1,4,0,6,0
620,0,1,0,0,0,2,1,1,2,0
621,1,1,1,1,1,0,2,1,2,2
622,1,1,1,1,0,1,4,1,3,1
623,0,1,1,1,1,3,0,0,7,4
624,1,1,1,2,0,0,3,0,0,0
625,1,0,0,0,0,5,0,0,2,3
626,1,0,1,0,1,3,3,0,2,4
627,0,0,0,2,0,5,4,1,6,0
628,1,0,0,2,0,5,0,0,7,1
