TAHUN,NAMA PROVINSI,NAMA KABUPATEN/KOTA,NAMA KECAMATAN,NAMA KELURAHAN,LUAS WILAYAH (KM2),KEPADATAN (JIWA/KM2),JENIS KELAMIN,RENTANG UMUR,JUMLAH
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,35-39, 6922
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,35-39, 3764
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,40-44, 3746
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,40-44, 7510
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,45-49, 4224
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,45-49, 4231
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,50-54, 8455
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,50-54, 3698
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,55-59, 3448
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,55-59, 7146
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,60-64, 3221
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,60-64, 2989
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,65-69, 6210
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,65-69, 2630
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,70-74, 2544
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,70-74, 5174
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Laki-laki,>75, 2042
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.03, 15866,Perempuan,>75, 2001
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,35-39, 13011
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,35-39, 7488
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,40-44, 7243
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,40-44, 14731
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,45-49, 8822
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,45-49, 8352
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,50-54, 17174
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,50-54, 7480
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,55-59, 6846
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,55-59, 14326
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,60-64, 6333
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,60-64, 5476
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,65-69, 11809
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,65-69, 4758
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,70-74, 4475
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,70-74, 9233
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Laki-laki,>75, 3959
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,7.18, 20919,Perempuan,>75, 3526
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,35-39, 2951
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,35-39, 1756
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,40-44, 1683
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,40-44, 3439
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,45-49, 2104
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,45-49, 1995
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,50-54, 4099
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,50-54, 1956
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,55-59, 1795
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,55-59, 3751
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,60-64, 1719
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,60-64, 1553
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,65-69, 3272
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,65-69, 1411
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,70-74, 1259
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,70-74, 2670
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Laki-laki,>75, 1041
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.61, 14438,Perempuan,>75, 903
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,35-39, 5632
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,35-39, 3396
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,40-44, 3459
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,40-44, 6855
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,45-49, 3950
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,45-49, 3971
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,50-54, 7921
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,50-54, 3496
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,55-59, 3128
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,55-59, 6624
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,60-64, 3004
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,60-64, 2691
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,65-69, 5695
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,65-69, 2235
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,70-74, 2089
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,70-74, 4324
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Laki-laki,>75, 1790
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.67, 14886,Perempuan,>75, 1604
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,35-39, 1530
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,35-39, 903
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,40-44, 845
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,40-44, 1748
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,45-49, 1002
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,45-49, 989
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,50-54, 1991
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,50-54, 936
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,55-59, 875
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,55-59, 1811
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,60-64, 983
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,60-64, 842
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,65-69, 1825
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,65-69, 837
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,70-74, 816
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,70-74, 1653
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Laki-laki,>75, 661
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22, 16960,Perempuan,>75, 629
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,35-39, 2358
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,35-39, 1581
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,40-44, 1524
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,40-44, 3105
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,45-49, 1854
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,45-49, 1883
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,50-54, 3737
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,50-54, 1706
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,55-59, 1696
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,55-59, 3402
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,60-64, 1570
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,60-64, 1484
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,65-69, 3054
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,65-69, 1280
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,70-74, 1232
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,70-74, 2512
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Laki-laki,>75, 958
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1.44, 24624,Perempuan,>75, 947
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,35-39, 3165
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,35-39, 2116
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,40-44, 2065
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,40-44, 4181
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,45-49, 2552
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,45-49, 2503
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,50-54, 5055
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,50-54, 2188
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,55-59, 2123
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,55-59, 4311
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,60-64, 1860
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,60-64, 1671
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,65-69, 3531
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,65-69, 1438
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,70-74, 1323
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,70-74, 2761
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Laki-laki,>75, 1181
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1.44, 30778,Perempuan,>75, 1170
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,35-39, 1857
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,35-39, 1220
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,40-44, 1210
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,40-44, 2430
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,45-49, 1638
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,45-49, 1637
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,50-54, 3275
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,50-54, 1413
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,55-59, 1447
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,55-59, 2860
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,60-64, 1268
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,60-64, 1244
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,65-69, 2512
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,65-69, 1012
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,70-74, 951
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,70-74, 1963
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Laki-laki,>75, 662
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1.76, 15915,Perempuan,>75, 722
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1.11, 18227,Laki-laki,35-39, 1277
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1.11, 18227,Perempuan,35-39, 812
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1.11, 18227,Laki-laki,40-44, 859
 2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1.11, 18227,Perempuan,40-44, 1671
