Date,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches,Events
3/7/2014,67,53,39,50,42,36,86,65,44,30.1,29.99,29.88,10,9,5,16,6,22,0, 
3/8/2014,59,52,44,57,49,39,93,88,83,30.3,30.09,29.9,10,3,1,14,4,21,0.74,"Rain , Thunderstorm"
3/9/2014,58,49,39,45,39,31,86,71,55,30.37,30.29,30.22,10,9,2,15,5,23,0.11,Rain
3/10/2014,71,61,50,56,51,45,84,69,53,30.25,30.08,29.94,10,9,4,12,3,17,0.01,Rain
3/11/2014,83,70,56,56,54,52,93,66,39,29.93,29.77,29.58,10,9,4,14,5,22,0, 
3/12/2014,70,60,49,50,28,16,56,36,16,30.3,30.13,29.73,10,10,10,24,11,37,0, 
3/13/2014,68,52,37,40,26,20,68,35,21,30.37,30.26,30.12,10,10,10,9,4,18,0, 
3/14/2014,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
3/15/2014,74,68,62,64,62,59,93,81,68,29.97,29.86,29.68,10,5,0,12,4,17,0.07,"Fog , Rain"
3/16/2014,64,56,48,58,45,32,93,66,39,30.07,29.9,29.7,10,10,10,24,11,36,0, 
3/17/2014,68,55,41,31,26,20,53,36,18,30.06,29.94,29.78,10,10,10,16,6,26,0, 
3/18/2014,83,65,47,56,42,31,73,49,24,29.83,29.74,29.67,10,10,10,18,8,26,0, 
3/19/2014,72,62,51,55,37,28,80,52,24,30.21,30.07,29.88,10,9,6,15,6,26,0, 
3/20/2014,76,59,42,40,36,31,82,52,21,30.25,30.15,30.04,10,10,10,10,2,15,0, 
3/21/2014,80,67,54,60,54,41,93,69,45,30.03,29.95,29.83,10,8,0,17,7,27,0,Fog
3/22/2014,77,69,61,65,62,51,100,80,60,30.02,29.95,29.88,10,7,1,12,4,17,0, 
3/23/2014,61,54,47,51,43,36,72,62,51,30.27,30.19,30.05,10,10,9,17,9,30,0, 
3/24/2014,66,58,50,47,42,38,72,58,44,30.24,30.14,30.03,10,10,10,10,3,15,0, 
3/25/2014,69,57,44,46,38,31,93,61,28,30.35,30.24,30.14,10,10,7,15,5,22,0, 
3/26/2014,66,60,54,55,47,30,78,57,36,30.2,30.08,29.95,10,10,6,22,10,33,T,Rain
3/27/2014,82,72,61,68,63,56,100,78,55,29.95,29.83,29.73,10,7,1,16,8,26,0.01,Rain
3/28/2014,89,76,63,67,61,49,90,64,37,30,29.79,29.7,10,8,2,18,5,27,0,Thunderstorm
3/29/2014,77,64,51,48,40,30,68,43,18,30.28,30.18,30.04,10,10,10,13,5,21,0, 
3/30/2014,79,62,45,51,43,38,83,56,29,30.22,30.13,30.01,10,10,10,20,8,30,0, 
3/31/2014,85,73,60,62,57,53,90,65,40,30.01,29.93,29.83,10,10,10,16,9,27,0, 
4/1/2014,86,76,66,67,64,62,93,71,48,29.99,29.92,29.82,10,8,4,17,8,28,0, 
4/2/2014,82,76,70,69,67,63,97,78,58,29.9,29.8,29.69,10,9,4,16,9,30,T,Rain
4/3/2014,82,77,71,69,67,66,90,74,58,29.81,29.74,29.66,10,8,5,14,7,25,T, 
4/4/2014,74,64,54,69,35,28,93,58,22,30.14,30.03,29.82,10,10,5,17,8,28,T,Rain
4/5/2014,65,60,54,46,38,33,60,48,36,30.08,29.99,29.88,10,10,10,10,4,17,T, 
4/6/2014,61,57,52,51,49,45,96,76,55,29.89,29.81,29.75,10,7,2,12,5,19,0.2,"Rain , Thunderstorm"
4/7/2014,72,62,52,51,49,47,93,69,44,30.05,29.92,29.83,10,9,2,25,3,57,0.27,"Rain , Thunderstorm"
4/8/2014,77,64,50,50,38,27,96,57,18,30.2,30.14,30.05,10,10,10,22,8,37,0, 
4/9/2014,84,65,45,51,42,37,77,51,24,30.27,30.17,30.06,10,10,10,13,6,22,0, 
4/10/2014,87,72,57,59,53,48,90,59,27,30.11,30.01,29.91,10,10,10,17,10,31,0, 
4/11/2014,85,73,61,61,59,56,90,65,40,30.04,29.98,29.88,10,10,7,16,8,25,0, 
4/12/2014,85,75,65,63,62,60,87,66,44,29.99,29.91,29.8,10,10,9,20,10,30,0, 
4/13/2014,78,73,68,68,66,61,90,79,67,29.85,29.76,29.62,10,9,8,18,7,29,T, 
4/14/2014,73,58,43,69,46,32,90,65,39,30.27,29.96,29.67,10,8,0,22,10,38,1.34,"Fog , Rain , Thunderstorm"
4/15/2014,65,52,39,32,25,16,59,39,19,30.38,30.27,30.15,10,10,10,12,4,17,0, 
4/16/2014,73,57,40,48,40,31,76,56,35,30.15,30.06,29.95,10,10,10,16,7,26,0, 
4/17/2014,67,62,56,61,57,49,97,85,72,30.17,30.09,29.99,10,7,1,10,4,15,0.06,Rain
4/18/2014,78,69,59,61,57,51,93,68,43,30.23,30.17,30.09,10,6,2,9,2,16,0.01,Rain
4/19/2014,78,66,54,56,54,52,93,68,43,30.18,30.12,30.05,10,9,4,13,5,19,0, 
4/20/2014,75,68,61,63,59,55,97,77,57,30.15,30.1,30.02,10,8,2,12,6,19,0, 
4/21/2014,84,74,64,65,63,57,93,72,51,30.07,30.01,29.9,10,9,2,14,5,25,0.01,"Rain , Thunderstorm"
4/22/2014,87,75,63,63,58,55,87,61,35,30.03,29.96,29.9,10,10,10,12,3,20,0, 
4/23/2014,87,73,59,64,61,57,90,68,46,29.93,29.85,29.75,10,10,10,17,7,29,0, 
4/24/2014,88,78,67,66,62,44,87,63,38,29.91,29.82,29.76,10,10,9,16,5,26,0, 
4/25/2014,88,76,63,64,54,45,68,51,34,30.01,29.92,29.84,10,10,10,12,6,20,0, 
4/26/2014,86,77,68,69,66,62,90,73,55,29.87,29.78,29.64,10,6,2,16,8,28,T,Rain
4/27/2014,96,85,73,70,66,41,87,51,15,29.63,29.55,29.44,10,6,3,14,6,24,0, 
4/28/2014,93,80,66,69,39,25,67,39,10,29.7,29.61,29.55,10,10,7,14,4,22,0, 
4/29/2014,84,72,60,46,34,22,60,36,11,29.96,29.77,29.6,10,10,10,17,7,28,0, 
4/30/2014,75,66,57,38,33,31,42,32,21,30.17,30.08,29.98,10,10,10,16,6,28,0, 
5/1/2014,77,65,52,43,33,25,63,39,15,30.19,30.12,30.01,10,10,10,10,3,18,0, 
5/2/2014,83,70,56,40,35,27,51,33,14,30.09,30.02,29.94,10,10,10,9,3,17,0, 
5/3/2014,94,76,58,42,35,26,44,27,10,30.06,30,29.95,10,10,10,13,4,20,0, 
5/4/2014,91,-,61,42,37,32,37,27,16,30.09,30.02,29.94,10,10,10,14,7,23,0, 
5/5/2014,92,-,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
5/6/2014,87,-,65,64,62,57,87,66,45,29.87,29.81,29.72,10,10,10,17,9,29,0, 
5/7/2014,88,79,70,67,64,62,84,65,46,29.88,29.81,29.75,10,10,10,18,9,31,0, 
5/8/2014,84,79,73,73,70,67,84,75,65,29.87,29.81,29.74,10,6,2,17,8,30,0.06,Rain
5/9/2014,86,76,66,71,68,58,87,69,50,29.96,29.89,29.77,10,5,1,20,5,39,T,"Rain , Thunderstorm"
5/10/2014,91,76,60,66,62,58,97,71,44,29.92,29.84,29.75,10,10,5,16,6,23,0, 
5/11/2014,93,83,72,68,67,65,84,63,41,29.84,29.77,29.66,10,9,4,18,10,30,0, 
5/12/2014,82,72,62,76,70,61,94,87,79,29.95,29.84,29.74,10,5,0,18,7,26,2.45,"Fog , Rain , Thunderstorm"
5/13/2014,67,61,55,60,54,48,93,73,52,30.25,30.09,29.92,10,8,2,16,8,31,0.94,"Rain , Thunderstorm"
5/14/2014,76,64,51,51,43,32,93,57,21,30.29,30.24,30.17,10,10,5,17,7,28,0.14,Rain
5/15/2014,84,65,46,47,41,33,93,55,17,30.3,30.22,30.11,10,10,10,10,3,17,0, 
5/16/2014,86,74,61,48,43,36,60,40,20,30.14,30.06,29.96,10,10,10,15,7,27,0, 
5/17/2014,86,73,60,59,55,47,84,58,32,30.02,29.97,29.9,10,10,10,17,9,26,0, 
5/18/2014,85,74,62,61,59,57,93,67,40,30.09,30.03,29.96,10,10,8,16,8,24,0, 
5/19/2014,86,76,66,64,61,57,87,65,43,30.07,30,29.94,10,10,10,18,10,27,0, 
5/20/2014,89,78,67,65,62,59,84,63,42,30.08,30.01,29.96,10,10,10,14,9,26,0, 
5/21/2014,89,80,70,66,64,61,84,61,38,30.1,30.02,29.96,10,10,10,16,8,27,0, 
5/22/2014,87,79,70,68,65,61,90,70,50,30.11,30.05,29.96,10,10,7,15,7,25,T, 
5/23/2014,84,78,71,71,67,62,84,69,54,30.09,30.03,29.96,10,8,0,14,6,20,0.19,"Fog , Rain"
5/24/2014,86,78,70,70,68,66,97,79,61,30.06,29.99,29.89,10,9,7,15,7,23,T, 
5/25/2014,87,80,72,67,66,63,84,66,48,30.07,29.98,29.89,10,10,10,15,6,24,T,Thunderstorm
5/26/2014,75,70,64,70,65,61,93,83,73,30.09,30,29.94,10,8,1,17,5,29,1.56,"Rain , Thunderstorm"
5/27/2014,73,68,63,67,64,61,93,86,79,30.03,29.95,29.86,10,6,0,22,3,31,1.75,"Fog , Rain , Thunderstorm"
5/28/2014,84,76,68,68,66,62,97,74,51,29.94,29.88,29.83,10,7,2,14,4,22,0, 
5/29/2014,89,78,66,65,63,61,93,66,38,29.89,29.85,29.79,10,10,10,9,2,15,0, 
5/30/2014,94,81,68,67,65,60,84,60,36,29.86,29.82,29.78,10,10,10,9,3,17,0, 
5/31/2014,93,82,70,69,67,65,84,63,41,29.89,29.85,29.82,10,10,10,10,3,20,0, 
6/1/2014,88,80,71,71,69,63,93,69,45,29.97,29.9,29.83,10,8,2,14,4,20,0, 
6/2/2014,91,83,74,71,69,67,87,67,47,29.97,29.91,29.86,10,10,8,13,7,22,0, 
6/3/2014,90,-,75,72,70,68,82,67,52,30.03,29.96,29.88,10,10,10,10,6,17,T, 
6/4/2014,91,-,74,71,70,68,87,70,52,29.93,29.86,29.79,10,10,10,12,7,21,0, 
6/5/2014,91,-,74,72,70,68,87,72,56,29.87,29.82,29.78,10,10,10,14,7,22,0, 
6/6/2014,92,-,73,71,70,69,87,70,52,29.97,29.88,29.83,10,10,9,14,7,25,0, 
6/7/2014,92,83,74,72,70,67,93,71,49,29.97,29.89,29.81,10,10,10,14,7,26,0, 
6/8/2014,90,83,76,72,70,64,87,67,46,29.99,29.88,29.76,10,10,5,16,7,27,T,Rain
6/9/2014,86,77,68,75,71,66,91,78,65,29.92,29.81,29.75,10,8,1,14,4,22,0.55,"Rain , Thunderstorm"
6/10/2014,92,78,64,70,61,56,97,64,30,29.9,29.85,29.81,10,10,9,13,3,20,0, 
6/11/2014,94,80,66,73,66,62,87,64,41,29.89,29.83,29.74,10,10,10,14,5,21,0, 
6/12/2014,92,80,68,74,72,67,79,68,56,29.98,29.82,29.71,10,9,1,24,8,47,1.49,"Rain , Thunderstorm"
6/13/2014,89,79,68,-,-,-,95,75,55,30.01,29.95,29.87,-,-,-,15,4,22,0, 
6/14/2014,87,92,73,-,-,-,95,77,59,29.99,29.93,29.84,-,-,-,15,6,22,0, 
6/15/2014,91,83,74,-,-,-,-,-,-,29.98,29.9,29.87,-,-,-,14,9,23,0, 
6/16/2014,92,84,75,-,-,-,94,72,49,30.05,29.99,29.93,-,-,-,12,8,24,T, 
6/17/2014,92,84,75,72,69,66,88,69,49,30.04,29.99,29.92,10,10,10,12,9,22,0, 
6/18/2014,92,85,77,75,72,67,91,68,44,30.03,29.96,29.88,10,9,4,16,9,26,0.02,Rain
6/19/2014,91,84,76,74,71,66,88,68,47,30.05,30,29.94,10,10,10,13,6,22,0.01, 
6/20/2014,91,83,75,73,71,67,88,69,50,30.11,30.04,29.96,10,10,9,13,5,19,0, 
6/21/2014,92,84,75,74,72,68,94,72,49,30.07,29.99,29.87,10,10,8,15,6,21,T, 
6/22/2014,90,83,76,74,-,68,85,70,55,29.96,29.9,29.82,10,9,8,13,8,22,T, 
6/23/2014,88,78,68,75,-,66,88,75,61,30.04,29.93,29.83,10,8,1,16,4,26,0.27,"Rain , Thunderstorm"
6/24/2014,93,84,74,74,-,69,94,72,49,30.05,30,29.94,10,9,0,22,4,35,0.24,"Fog , Rain , Thunderstorm"
6/25/2014,89,80,71,76,-,68,94,77,59,30.07,30.01,29.92,10,8,0,16,5,24,0.49,"Fog , Rain , Thunderstorm"
6/26/2014,88,80,71,75,71,69,94,76,57,30.02,29.95,29.85,10,10,6,15,7,24,0.01,Rain
6/27/2014,91,83,75,74,72,70,88,69,49,29.93,29.87,29.79,10,10,8,17,8,32,T, 
6/28/2014,93,86,78,74,73,71,85,69,52,29.97,29.88,29.83,10,10,8,16,9,27,T, 
6/29/2014,95,86,77,74,73,70,88,69,49,30.04,29.97,29.91,10,9,7,17,9,27,0, 
6/30/2014,96,87,77,74,71,67,88,64,39,30.03,29.94,29.86,10,9,7,17,8,27,0, 
7/1/2014,96,86,75,73,70,66,88,64,39,29.98,29.92,29.87,10,10,7,15,6,22,0, 
7/2/2014,97,85,73,73,69,64,93,64,35,30.06,30,29.96,10,10,6,14,4,18,0, 
7/3/2014,96,84,72,71,69,61,93,62,30,30.13,30.08,30.01,10,10,6,20,3,29,0.07,"Rain , Thunderstorm"
7/4/2014,93,82,71,70,68,59,93,67,41,30.22,30.15,30.1,10,10,9,16,4,23,0,Thunderstorm
7/5/2014,94,82,69,71,69,67,93,70,46,30.19,30.12,30.05,10,10,5,18,4,30,0, 
7/6/2014,95,84,72,73,70,66,100,72,44,30.1,30.03,29.91,10,8,3,13,5,20,0, 
7/7/2014,96,85,73,70,67,63,87,61,34,30.01,29.97,29.91,10,10,10,13,5,19,0, 
7/8/2014,98,86,74,73,68,61,93,63,33,30.04,29.99,29.95,10,10,10,13,7,21,0, 
7/9/2014,98,85,72,72,66,57,90,59,27,30.07,30,29.93,10,10,8,14,6,23,0, 
7/10/2014,96,84,72,71,68,63,93,64,34,30.11,30.01,29.94,10,10,7,14,5,24,0, 
7/11/2014,95,83,71,72,67,56,90,60,30,30.15,30.09,30.03,10,10,10,13,5,22,0, 
7/12/2014,98,85,71,71,66,56,93,59,25,30.19,30.1,30.01,10,9,7,13,4,20,0, 
7/13/2014,100,87,74,71,67,62,93,63,33,30.09,30.03,29.96,10,10,10,13,na,17,0, 
7/14/2014,101,88,75,71,67,59,82,55,28,30.03,29.96,29.87,10,10,10,10,na,16,0, 
7/15/2014,92,83,73,73,71,69,93,71,49,30.01,29.96,29.91,10,10,8,15,3,23,0.06,"Rain , Thunderstorm"
7/16/2014,95,84,73,74,71,68,93,68,43,30.03,29.95,29.83,10,8,1,15,4,22,0.31,"Rain , Thunderstorm"
7/17/2014,89,82,74,76,74,70,94,77,59,29.92,29.86,29.76,10,7,0,13,5,19,3.53,"Fog , Rain , Thunderstorm"
7/18/2014,78,75,72,74,71,68,100,87,74,30.01,29.93,29.87,10,7,1,14,3,27,1.52,"Rain , Thunderstorm"
7/19/2014,86,78,70,70,68,66,90,76,61,30.03,29.99,29.93,10,9,6,8,2,11,0, 
7/20/2014,94,84,74,76,72,70,93,73,52,30.04,29.96,29.88,10,9,7,12,4,18,0, 
7/21/2014,96,87,77,76,73,70,94,70,46,30.05,29.97,29.9,10,9,5,10,6,20,0, 
7/22/2014,96,86,76,74,72,68,94,68,42,30.08,30.01,29.95,10,10,8,8,2,14,0, 
7/23/2014,97,86,75,75,71,66,94,66,38,30.05,30,29.94,10,9,6,7,3,14,0, 
7/24/2014,94,84,74,77,72,68,94,70,46,30.08,29.99,29.9,10,8,2,8,3,12,0.09,Rain
7/25/2014,96,86,75,73,70,66,87,63,39,30.02,29.96,29.89,10,10,10,12,5,18,0, 
7/26/2014,98,87,76,74,71,67,94,66,38,30.01,29.95,29.88,10,10,8,15,6,25,0, 
7/27/2014,98,87,75,74,71,65,94,64,33,30.08,30,29.94,10,10,9,13,6,22,0, 
7/28/2014,99,87,74,73,69,63,93,62,31,30.13,30.05,29.98,10,10,8,9,3,15,0, 
7/29/2014,97,87,76,72,70,66,87,63,38,30.08,30.03,29.99,10,10,10,13,4,23,0, 
7/30/2014,96,86,76,72,68,60,87,60,33,30.06,29.97,29.86,10,10,10,14,6,22,0, 
7/31/2014,97,87,77,73,71,64,85,64,42,30.01,29.94,29.86,10,10,10,13,4,19,0, 
8/1/2014,91,82,73,67,65,64,74,59,44,30.01,29.98,29.93,10,10,10,12,5,18,0, 
8/2/2014,90,79,68,68,66,64,93,70,46,30.1,30.02,29.96,10,10,10,10,3,18,0, 
8/3/2014,94,83,71,69,66,65,84,62,39,30.08,30,29.92,10,10,9,13,4,19,0, 
8/4/2014,94,83,72,72,69,65,87,66,44,30.06,29.98,29.92,10,9,7,13,3,20,0, 
8/5/2014,97,85,73,71,68,64,87,61,35,30.06,29.99,29.93,10,10,8,13,3,22,0, 
8/6/2014,99,88,76,73,68,61,94,64,33,30.06,29.96,29.86,10,10,9,13,5,20,0, 
8/7/2014,102,90,77,74,71,63,88,59,29,29.99,29.9,29.78,10,8,5,13,6,25,0, 
8/8/2014,102,89,76,75,70,62,91,60,29,30,29.89,29.82,10,10,10,13,6,22,0, 
8/9/2014,100,89,77,74,68,62,88,60,31,30,29.94,29.85,10,10,10,13,5,18,0, 
8/10/2014,101,89,77,74,69,61,88,58,27,30.01,29.96,29.87,10,10,10,13,4,19,0, 
8/11/2014,102,89,76,75,71,66,91,62,33,30.07,30,29.94,10,10,2,13,3,23,0.05,"Rain , Thunderstorm"
8/12/2014,100,87,73,73,66,53,94,62,29,30.05,29.99,29.92,10,10,10,12,4,17,0, 
8/13/2014,97,83,69,60,57,51,66,45,24,30.06,30.01,29.95,10,10,10,12,4,20,0, 
8/14/2014,98,84,70,68,61,56,73,50,27,30.03,29.97,29.89,10,10,10,9,4,16,0, 
8/15/2014,101,88,75,74,69,60,88,58,27,30.05,29.95,29.82,10,10,10,13,5,19,0, 
8/16/2014,104,91,77,74,69,60,88,57,25,29.95,29.88,29.81,10,10,10,14,7,24,0, 
8/17/2014,101,90,79,74,71,59,85,56,27,30.02,29.92,29.84,10,10,10,16,6,24,0, 
8/18/2014,102,90,78,75,71,64,85,59,33,29.99,29.9,29.78,10,10,9,15,7,24,0, 
8/19/2014,96,87,77,72,68,62,76,55,34,29.93,29.87,29.78,10,10,9,16,7,25,0,Thunderstorm
8/20/2014,102,90,78,75,71,63,85,57,29,30,29.92,29.83,10,10,8,17,8,29,0, 
8/21/2014,103,92,80,75,71,61,85,55,25,30.06,29.98,29.91,10,10,10,17,9,27,0, 
8/22/2014,103,91,79,74,69,59,85,55,25,30.08,29.99,29.91,10,10,10,15,8,23,0, 
8/23/2014,101,88,75,73,69,62,94,62,29,30.04,29.94,29.84,10,10,9,14,6,21,0, 
8/24/2014,101,89,77,74,70,62,88,59,29,29.98,29.9,29.81,10,10,10,13,5,18,0, 
